EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC, Mean Humidity, Max Wind SpeedKm/h, Mean Wind SpeedKm/h,Precipitationmm, CloudCover, Events,Class
2014-2-1,27,24,21,74,34,24,0,3,,
2014-2-2,29,26,22,61,40,23,0,2,,
2014-2-3,29,26,22,54,50,29,0,1,,
2014-2-4,25,22,19,74,50,27,0.51,6,Rain,
2014-2-5,22,20,18,51,37,27,0,6,,
2014-2-6,23,20,17,59,26,14,0,5,Rain,
2014-2-7,27,21,16,55,37,14,0,2,,
2014-2-8,30,24,19,56,42,21,0,1,,
2014-2-9,30,26,21,61,42,24,0,2,,
2014-2-10,23,22,20,78,53,27,0,6,Rain,
2014-2-11,25,22,20,78,27,19,0,6,Rain,
2014-2-12,27,24,21,74,32,21,0,6,Rain,
2014-2-13,29,26,21,64,35,18,0,6,Rain,
2014-2-14,25,23,21,73,24,14,0,7,Rain,
2014-2-15,27,24,21,82,27,14,1.02,8,Rain,
2014-2-16,24,22,19,88,42,19,4.06,7,Rain,
2014-2-17,24,21,18,76,35,24,0,4,Rain,
2014-2-18,24,22,19,72,24,11,0,5,Rain,
2014-2-19,29,25,21,82,34,14,19.05,6,Rain,
2014-2-20,26,23,20,53,29,16,0,6,,
2014-2-21,25,22,18,45,32,21,0,1,,
2014-2-22,24,21,19,63,26,21,0,5,Rain,
2014-2-23,24,21,19,58,27,23,0,4,,
2014-2-24,26,22,19,62,34,13,0,3,,
2014-2-25,29,24,20,63,39,18,0,2,,
2014-2-26,34,27,21,61,37,18,4.06,3,Rain-Thunderstorm,
2014-2-27,22,21,19,85,40,24,0,6,Rain,
2014-2-28,22,20,18,74,34,27,1.02,6,Rain,
2014-3-1,23,21,18,87,35,18,2.03,6,Rain,
2014-3-2,23,21,18,80,32,19,0.25,6,Rain,
2014-3-3,24,21,19,76,27,18,3.05,5,Rain,
2014-3-4,26,22,19,72,21,11,0,4,Rain,
2014-3-5,30,24,18,69,42,13,12.95,3,Rain-Thunderstorm,
2014-3-6,24,22,19,78,47,24,0.25,5,,
2014-3-7,27,23,19,68,26,13,0,4,Rain-Thunderstorm,
2014-3-8,28,24,21,66,34,18,0,3,,
2014-3-9,27,23,20,63,27,11,0,3,Rain,
2014-3-10,28,25,22,58,32,16,0,2,,
2014-3-11,28,24,19,59,34,14,0,2,,
2014-3-12,28,23,19,63,29,14,27.94,4,Rain,
2014-3-13,24,21,18,82,42,26,0,4,Rain-Thunderstorm,
2014-3-14,28,23,18,65,37,14,0,4,,
2014-3-15,27,23,20,66,34,18,9.91,4,Rain-Thunderstorm,
2014-3-16,29,24,19,52,39,18,4.06,2,Rain-Thunderstorm,
2014-3-17,28,21,15,40,34,18,0,1,,
2014-3-18,29,22,16,44,27,13,0,,,
2014-3-19,24,21,18,72,39,18,0,3,,
2014-3-20,27,23,19,65,32,16,0,3,Rain,
2014-3-21,27,24,21,64,32,14,0,4,Rain-Thunderstorm,
2014-3-22,30,24,18,68,32,14,1.02,3,Rain-Thunderstorm,
2014-3-23,29,24,20,70,27,19,0,5,,
2014-3-24,23,20,17,85,58,29,35.05,4,Rain-Thunderstorm,
2014-3-25,25,21,17,80,24,13,0.25,5,Rain,
2014-3-26,25,22,20,85,39,13,12.95,6,Rain,
2014-3-27,23,21,19,82,35,13,5.08,7,Rain,
2014-3-28,25,21,18,77,16,10,0.51,6,Rain,
2014-3-29,23,21,19,75,35,19,0,6,,
2014-3-30,25,22,19,73,27,14,2.03,4,Rain-Thunderstorm,
2014-3-31,24,21,18,74,19,13,0,2,,
2014-4-1,28,22,17,68,32,13,0,4,,
2014-4-2,27,22,18,73,26,11,0,1,,
2014-4-3,28,23,19,73,27,13,0.25,4,Fog,
2014-4-4,22,20,19,85,37,26,3.05,6,Rain-Thunderstorm,
2014-4-5,23,20,18,80,45,18,0.25,4,Fog,
2014-4-6,21,19,17,81,45,24,7.87,6,Rain,
2014-4-7,22,19,16,67,35,24,2.03,5,Rain,
2014-4-8,23,20,17,65,19,11,0,5,Rain,
2014-4-9,24,20,16,64,21,11,0,5,,
2014-4-10,22,20,18,79,13,10,2.03,7,Rain,
2014-4-11,27,23,19,76,35,16,7.11,6,Rain,
2014-4-12,21,19,17,74,52,31,0.76,5,Rain,
2014-4-13,21,18,16,73,39,27,2.03,5,Rain,
2014-4-14,19,17,14,74,40,24,1.02,5,Rain,
2014-4-15,21,17,14,76,39,23,8.89,5,Rain,
2014-4-16,21,18,14,70,35,24,0.25,3,Rain,
2014-4-17,21,17,13,66,35,19,0,3,,
2014-4-18,26,19,13,54,27,18,0,1,,
2014-4-19,19,18,16,56,32,19,0,2,,
2014-4-20,24,18,12,58,26,13,0,2,,
2014-4-21,23,18,12,49,23,13,0,1,,
2014-4-22,25,19,12,51,19,13,0,,,
2014-4-23,24,19,13,53,16,13,0,,,
2014-4-24,30,22,14,52,37,16,0,1,,
2014-4-25,22,19,17,68,34,26,5.08,4,Rain,
2014-4-26,24,19,14,66,21,11,0,6,,
2014-4-27,19,17,16,78,34,23,2.03,5,Rain,
2014-4-28,22,19,16,71,23,13,0,5,Rain,
2014-4-29,26,20,14,62,27,16,0,4,,
2014-4-30,23,19,16,57,35,19,0,3,Rain,